# ROTF recovery work-list:  Tag|youtube_url   (Tag = frames dir + spec name)
# Curated per-dungeon from yt-dlp searches. Long raw runs/streams = best for fights+taunts.
# === DUNGEONS WITH DEDICATED FOOTAGE ===
disc_bk4dygntBZ8|https://youtu.be/bk4dygntBZ8
disc_1mU5uHE6DXE|https://youtu.be/1mU5uHE6DXE
disc_YEGMcwgmGTM|https://youtu.be/YEGMcwgmGTM
disc_YKeF4c6OOZM|https://youtu.be/YKeF4c6OOZM
disc_xBBwVkcJirM|https://youtu.be/xBBwVkcJirM
disc_QLj_OYf0e6E|https://youtu.be/QLj_OYf0e6E
disc_UMWHbweolzI|https://youtu.be/UMWHbweolzI
disc_IBEp1CbA00Q|https://youtu.be/IBEp1CbA00Q
disc_NPy2dlr0mfY|https://youtu.be/NPy2dlr0mfY
disc_mBHThGYDed8|https://youtu.be/mBHThGYDed8
disc_H_zJSEalZnI|https://youtu.be/H_zJSEalZnI
disc_UOSlMI3Wlmo|https://youtu.be/UOSlMI3Wlmo
disc_hLWFrZzbn_s|https://youtu.be/hLWFrZzbn_s
disc_LJzfb9Y4ok0|https://youtu.be/LJzfb9Y4ok0
disc_GPTwnFpZXpk|https://youtu.be/GPTwnFpZXpk
disc_1G51S6l2xL4|https://youtu.be/1G51S6l2xL4
disc_I-LLUiWJE5I|https://youtu.be/I-LLUiWJE5I
disc__WkTRDW_vQ0|https://youtu.be/_WkTRDW_vQ0
disc_xEFLSmxIpSA|https://youtu.be/xEFLSmxIpSA
disc_UZQBOayvNVE|https://youtu.be/UZQBOayvNVE
disc_zprZ0dRWCbY|https://youtu.be/zprZ0dRWCbY
disc_VZDxttR2LMk|https://youtu.be/VZDxttR2LMk
disc_3EeKxDleJx8|https://youtu.be/3EeKxDleJx8
disc_zl3nB5xG_9s|https://youtu.be/zl3nB5xG_9s
disc__oNRwi83bLU|https://youtu.be/_oNRwi83bLU
disc_ehEBWCzq3fs|https://youtu.be/ehEBWCzq3fs
disc_2qvl3EqIbrY|https://youtu.be/2qvl3EqIbrY
